company,srn,address,city,zip_code,pti_no.,approved,notes
MICHIGAN SUGAR COMPANY,B2873,763 N BECK STREET,SEBEWAING,48759,234-89A,3/12/1997,Rolled into ROP
MICHIGAN SUGAR COMPANY,B2873,159 S HOWARD AVENUE,SEBEWAING,48759,174-01,9/18/2001,Rolled into ROP
MICHIGAN SUGAR COMPANY,B2873,763 N BECK STREET,SEBEWAING,48759,120-03,8/6/2003,Rolled into ROP
MICHIGAN SUGAR COMPANY,B2873,763 N BECK STREET,SEBEWAING,48795,90-03B,6/30/2005,Rolled into ROP
MICHIGAN SUGAR COMPANY,B2873,763 N BECK STREET,SEBEWAING,48759,260-07,8/20/2007,Rolled into ROP
MICHIGAN SUGAR COMPANY,B2873,763 N BECK STREET,SEBEWAING,48759,339-05A,11/2/2007,Rolled into ROP
MICHIGAN SUGAR COMPANY,B2873,763 N BECK STREET,SEBEWAING,48759,36-08,2/8/2008,Rolled into ROP
SEBEWAING LIGHT & WATER DEPT,N2726,350 PINE STREET,SEBEWAING,48759,146-17A,3/12/2020,
SEBEWAING LIGHT & WATER DEPT,P0829,120 W MAIN STREET,SEBEWAING,48759,164-17A,1/7/2021,
"HIGHLAND RNG, LLC",P1236,8549 STEIN ROAD,SEBEWAING,48759,108-21,12/13/2021,
GEMINI PLASTICS,N2710,4385 GARFIELD STREET,UBLY,48475,42-12,6/29/2012,
THUMB ELECTRIC COOPERATIVE,N3517,4151 UBLY ROAD,UBLY,48475,90-12,8/6/2012,
SAGINAW ASPHALT PAVING COMPANY,N5597,2747 PREMIER ROAD,UBLY,48475,156-95N,4/18/2006,
"PEPRO ENTERPRISES, INC",N6968,2147 LEPPEK ROAD,UBLY,48475,81-05,3/31/2005,General PTI
"HARDIN STREET TRANSPORTATION, LLC",M4097,2499 GRIMES ROAD,DANSVILLE,48819,58-00,8/8/2000,
"ENBRIDGE PIPELINES (TOLEDO), INC",N6474,2551-2557 GRIMES ROAD,DANSVILLE,48819,160-98D,8/1/2013,
WOLVERINE PIPELINE COMPANY,N6654,2499 GRIMES ROAD,DANSVILLE,48819,378-77A,10/14/1999,
WOLVERINE PIPELINE COMPANY,N6654,2499 GRIMES ROAD,DANSVILLE,48819,127-00A,4/9/2014,
HUNTSMAN ADVANCED MATERIALS,A1571,4917 DAWN AVENUE,EAST LANSING,48823,358-99,3/2/2000,
SUPERIOR BRASS & ALUMINUM CASTING,A1588,4893 DAWN AVENUE,EAST LANSING,48823,18-17,4/6/2017,
SUPERIOR BRASS & ALUMINUM CASTING,A1588,4893 DAWN AVENUE,EAST LANSING,48823,72-06C,1/10/2020,
MICHIGAN DEPT OF AGRICULTURE,K3249,4125 BEAUMONT ROAD,EAST LANSING,48824,380-00,6/26/2001,Rolled into ROP
MICHIGAN STATE UNIVERSITY,K3249,A140 VET MEDICAL CENTER,EAST LANSING,48824,271-03,11/10/2003,Rolled into ROP
MICHIGAN STATE UNIVERSITY,K3249,65 SERVICE ROAD - POWER PLANT 65,EAST LANSING,48824,13-04,6/4/2004,Rolled into ROP
MICHIGAN STATE UNIVERSITY,K3249,4125 BEAUMONT ROAD,EAST LANSING,48824,226-05,10/3/2005,Rolled into ROP
MICHIGAN STATE UNIVERSITY,K3249,ENGINEERING RESEARCH COMPLEX,EAST LANSING,48824,229-05,10/5/2005,Rolled into ROP
MICHIGAN STATE UNIVERSITY,K3249,450 HANNAH ADMINISTRATION,EAST LANSING,48824,323-07,12/13/2007,Rolled into ROP
MICHIGAN STATE UNIVERSITY,K3249,65 SERVICE ROAD - POWER PLANT 65,EAST LANSING,48824,27-09,8/20/2009,Rolled into ROP
MICHIGAN STATE UNIVERSITY,K3249,450 HANNAH ADMINISTRATION,EAST LANSING,48824,142-10,9/20/2010,Rolled into ROP
MICHIGAN STATE UNIVERSITY,K3249,450 HANNAH ADMINISTRATION,EAST LANSING,48824,25-11,10/20/2011,Rolled into ROP
MICHIGAN STATE UNIVERSITY,K3249,450 HANNAH ADMINISTRATION,EAST LANSING,48824,175-11,3/19/2012,Rolled into ROP
MICHIGAN STATE UNIVERSITY,K3249,450 HANNAH ADMINISTRATION,EAST LANSING,48824,95-12,8/23/2012,Rolled into ROP
MICHIGAN STATE UNIVERSITY,K3249,450 HANNAH ADMINISTRATION,EAST LANSING,48824,28-12A,9/27/2012,Rolled into ROP
MICHIGAN STATE UNIVERSITY,K3249,354 SERVICE ROAD,EAST LANSING,48824,75-14,10/31/2014,Rolled into ROP
MICHIGAN STATE UNIVERSITY,K3249,1449 ENGINEERING RESEARCH COURT,EAST LANSING,48824,229-05A,11/5/2014,Rolled into ROP
MICHIGAN STATE UNIVERSITY,K3249,65 SERVICE ROAD - POWER PLANT 65,EAST LANSING,48824,75-14A,2/24/2015,Rolled into ROP
MICHIGAN STATE UNIVERSITY,K3249,426 AUDITORIUM ROAD - BOARD OF,EAST LANSING,48824,75-14B,1/11/2016,Rolled into ROP
MICHIGAN STATE UNIVERSITY,K3249,426 AUDITORIUM ROAD - BOARD OF,EAST LANSING,48824,95-12A,8/1/2016,Rolled into ROP
MICHIGAN STATE UNIVERSITY,K3249,354 SERVICE ROAD,EAST LANSING,48824,75-14C,3/16/2017,
MICHIGAN STATE UNIVERSITY,K3249,426 AUDITORIUM ROAD - BOARD OF,EAST LANSING,48824,68-17A,7/21/2017,
MICHIGAN STATE UNIVERSITY,K3249,736 WILSON ROAD,EAST LANSING,48824,99-17,8/22/2017,Revised
MICHIGAN STATE UNIVERSITY,K3249,354 SERVICE ROAD,EAST LANSING,48824,139-18,5/22/2019,
U S DEPT OF AGRICULTURE,M3883,3606 E MOUNT HOPE ROAD - LAB DIVISION,EAST LANSING,48823,86-06,5/31/2006,
U S DEPT OF AGRICULTURE,M3883,3606 E MOUNT HOPE ROAD - LAB DIVISION,EAST LANSING,48823,106-10,9/17/2010,
VFW NATIONAL HOME FOR CHILDREN,D1208,3573 S WAVERLY ROAD,EATON RAPIDS,48827,282-03,12/3/2003,General PTI
MOLDED PLASTIC INDUSTRIES,N0034,2382 JARCO DRIVE,HOLT,48842,106-18,11/5/2018,Rolled into ROP
EGLE RRD LANSING DISTRICT,N5298,1943 CEDAR STREET,HOLT,48842,16-20,2/25/2020,General PTI
"PAWS UPON THE HEART, LLC",P0550,5035 HOLT ROAD,HOLT,48842,148-14,10/3/2014,
"PRATT & WHITNEY AUTOAIR, INC",P0774,1781 HOLLOWAY DRIVE,HOLT,48842,204-16A,1/26/2018,
"SPRING VALLEY INDUSTRIES, LLC",P1167,1961 HOLLOWAY DRIVE,HOLT,48842,9-21,4/9/2021,
BARNES AEROSPACE,A1614,5300 AURELIUS ROAD - LANSING DIVISION,LANSING,48911,495-85B,7/31/2007,
"PRATT & WHITNEY AUTOAIR, INC",A1637,5640 ENTERPRISE DRIVE,LANSING,48911,40-03,7/22/2003,
DEMMER CORPORATION,A1640,736 MCKINLEY STREET,LANSING,48906,309-07,9/28/2007,
LOC PERFORMANCE PRODUCTS,A1640,1600 N LARCH STREET,LANSING,48906,123-18,7/25/2018,General PTI
LOC PERFORMANCE PRODUCTS,A1640,1600 N LARCH STREET,LANSING,48906,157-18,10/16/2018,
GENERAL MOTORS CORPORATION,A1641,920 TOWNSEND STREET - BOC LANSING,LANSING,48933,69-84A,12/19/2000,Rolled into ROP
GENERAL MOTORS CORPORATION,A1641,920 TOWNSEND STREET - BOC LANSING,LANSING,48933,69-84B,3/13/2003,Rolled into ROP
GENERAL MOTORS CORPORATION,A1641,920 TOWNSEND STREET - BOC LANSING,LANSING,48933,134-99F,3/13/2006,Rolled into ROP
GENERAL MOTORS CORPORATION,A1641,920 TOWNSEND STREET - GRAND RIVER,LANSING,48933,74-11,9/23/2011,Rolled into ROP
GENERAL MOTORS CORPORATION,A1641,920 TOWNSEND STREET - BOC LANSING,LANSING,48933,54-17,5/9/2017,
GENERAL MOTORS CORPORATION,B1639,2801 W SAGINAW HIGHWAY - BOC,LANSING,48915,1040-90A,10/10/2001,
LANSING CRAFT CENTRE,B1639,2801 W SAGINAW HIGHWAY,LANSING,48917,198-01D,1/19/2006,
"RIETH-RILEY CONSTRUCTION COMPANY,",B1646,4150 S CREYTS ROAD,LANSING,48917,97-03A,6/8/2005,
LANSING BOARD OF WATER & LIGHT,B2647,601 ISLAND AVENUE - ECKERT STATION,LANSING,48910,132-05,7/28/2005,Rolled into ROP
LANSING BOARD OF WATER & LIGHT,B2647,601 ISLAND AVENUE - ECKERT STATION,LANSING,48910,142-08,8/26/2008,Rolled into ROP
LANSING BOARD OF WATER & LIGHT,B2647,601 ISLAND AVENUE - ECKERT STATION,LANSING,48910,133-10,7/21/2010,Rolled into ROP
LANSING BOARD OF WATER & LIGHT,B2647,601 ISLAND AVENUE - ECKERT STATION,LANSING,48910,134-10,8/2/2010,Rolled into ROP
LANSING BOARD OF WATER & LIGHT,B2647,601 ISLAND AVENUE - ECKERT STATION,LANSING,48910,135-10,8/17/2010,Rolled into ROP
LANSING BOARD OF WATER & LIGHT,B2647,601 ISLAND AVENUE - ECKERT STATION,LANSING,48910,136-10,8/17/2010,Rolled into ROP
LANSING BOARD OF WATER & LIGHT,B2647,601 ISLAND AVENUE - ECKERT STATION,LANSING,48910,149-10,12/6/2010,Rolled into ROP
LANSING BOARD OF WATER & LIGHT,B2647,601 ISLAND AVENUE - ECKERT STATION,LANSING,48910,134-10A,3/9/2011,Rolled into ROP
LANSING BOARD OF WATER & LIGHT,B2647,601 ISLAND AVENUE - ECKERT STATION,LANSING,48910,136-10A,8/9/2011,Rolled into ROP
LANSING BOARD OF WATER & LIGHT,B2647,601 ISLAND AVENUE - ECKERT STATION,LANSING,48901,132-05C,5/4/2015,Rolled into ROP
LANSING BOARD OF WATER & LIGHT,B2647,601 ISLAND AVENUE - ECKERT STATION,LANSING,48901,149-10C,11/25/2015,Rolled into ROP
LANSING BOARD OF WATER & LIGHT,B2647,1201 S WASHINGTON AVENUE - REO,LANSING,48910,88-19,11/19/2019,Rolled into ROP
LANSING BOARD OF WATER & LIGHT,B2647,1201 S WASHINGTON AVENUE - REO,LANSING,48910,36-20,6/23/2020,
LANSING BOARD OF WATER & LIGHT,B5214,148 S CEDAR STREET,LANSING,48912,140-05,6/2/2005,General PTI
"UNIVAR SOLUTIONS USA, INC",B5627,2011 TURNER STREET,LANSING,48906,95-15,5/20/2015,
SPARROW HEALTH SERVICES,M2017,1215 E MICHIGAN AVENUE,LANSING,48912,294-06,4/5/2007,
"ATMOSPHERE ANNEALING, LLC",N0478,1801 BASSETT STREET,LANSING,48915,473-97A,11/2/2005,
"ATMOSPHERE ANNEALING, LLC",N0478,1801 BASSETT STREET,LANSING,48915,88-16,6/24/2016,
MICHIGAN DEPT OF COMMUNITY HEALTH,N0710,3350 N MARTIN LUTHER KING JR BLVD,LANSING,48909,512-97,2/25/1998,
MICHIGAN DEPT OF COMMUNITY HEALTH,N0710,3350 N MARTIN LUTHER KING JR BLVD,LANSING,48909,185-13,2/26/2014,
MICHIGAN STATE UNIVERSITY,N1162,3900 COLLINS ROAD,LANSING,48910,127-07,4/5/2007,General PTI
"ATMOSPHERE ANNEALING, LLC",N2473,209 W MOUNT HOPE AVENUE,LANSING,48910,289-98B,5/13/2019,
GRANGER ELECTRIC COMPANY,N5997,16980 WOOD ROAD,LANSING,48906,357-07,1/30/2008,Rolled into ROP
AIS CONSTRUCTION EQUIPMENT,N6400,3950 N GRAND RIVER AVENUE,LANSING,48906,570-97,1/16/1998,
AIS CONSTRUCTION EQUIPMENT,N6400,3950 N GRAND RIVER AVENUE,LANSING,48906,571-97,1/16/1998,
AIS CONSTRUCTION EQUIPMENT,N6400,3960 N GRAND RIVER AVENUE,LANSING,48906,147-06,5/15/2006,
NATIONWIDE TRUCK BROKERS,N6610,6601 SLOAN ROAD,LANSING,48908,92-99,6/18/1999,
BIOPORT CORPORATION,N7077,3500 N MARTIN LUTHER KING JR BLVD,LANSING,48906,36-06,2/8/2006,General PTI
RAINBOW BRIDGE PET CREMATORIUM,N7158,5646 COMMERCE STREET - SUITE F,LANSING,48911,123-02B,8/3/2021,
RAINBOW BRIDGE PET CREMATORIUM,N7158,5646 COMMERCE STREET - UNIT H,LANSING,48911,123-02C,2/28/2022,
"SYMMETRY MEDICAL, INC",N7191,5190 JET DRIVE,LANSING,48911,195-03A,5/5/2005,
"SYMMETRY MEDICAL, INC",N7191,5212 AURELIUS ROAD,LANSING,48911,265-05,11/23/2005,
"SYMMETRY MEDICAL, INC",N7191,5212 AURELIUS ROAD,LANSING,48911,233-02A,9/16/2008,
"SYMMETRY MEDICAL, INC",N7191,5212 AURELIUS ROAD,LANSING,48911,213-08,12/8/2008,
"SYMMETRY MEDICAL, INC",N7191,5212 AURELIUS ROAD,LANSING,48911,185-14,1/23/2015,
"SHAHEEN CHEVROLET, INC",N7614,3901 S MARTIN LUTHER KING JR BLVD,LANSING,48910,138-06,7/13/2006,
SPRINT UNITED MANAGEMENT,N7759,5821 ENTERPRISE DRIVE,LANSING,48911,44-07,1/31/2007,General PTI
JACKSON NATIONAL LIFE INSURANCE,N7780,1 CORPORATE WAY,LANSING,48951,98-07,3/13/2007,General PTI
JACKSON NATIONAL LIFE INSURANCE,N7911,5913 EXECUTIVE DRIVE,LANSING,48911,362-07,11/8/2007,General PTI
MICHIGAN BELL TELEPHONE COMPANY,N8011,221 N WASHINGTON SQUARE,LANSING,48933,79-08,4/3/2008,General PTI
"SPEEDWAY SUPERAMERICA, LLC",N8176,6736 S CEDAR STREET - SSA #7090,LANSING,48911,348-08,11/3/2008,General PTI
"SPEEDWAY SUPERAMERICA, LLC",P0011,3029 E KALAMAZOO STREET - SSA #7207,LANSING,48912,116-15,6/17/2015,General PTI
"SPEEDWAY SUPERAMERICA, LLC",P0032,6041 S PENNSYLVANIA AVENUE - SSA,LANSING,48911,8-10,1/15/2010,General PTI
"SPEEDWAY SUPERAMERICA, LLC",P0032,6041 S PENNSYLVANIA AVENUE - SSA,LANSING,48911,122-12,8/14/2012,General PTI
CYDI OF MICHIGAN,P0103,3275 N MARTIN LUGHER KING JR BLVD,LANSING,48906,87-10,5/5/2010,
JACKSON NATIONAL LIFE INSURANCE,P0144,2005 SEAGER STREET,LANSING,48906,209-15,12/22/2015,
FISHER SAND & GRAVEL COMPANY,P0156,715 WILLOW STREET,LANSING,48906,30-15,3/13/2015,
"KALIN CONSTRUCTION COMPANY, INC",P0232,3012 7TH AVENUE,LANSING,48906,52-11,4/13/2011,General PTI
"SPEEDWAY SUPERAMERICA, LLC",P0330,3814 W JOLLY ROAD - SSA #2212,LANSING,48911,45-12,3/21/2012,General PTI
"DYNAMIC CRUSHING, LLC",P0691,920 E GIER STREET,LANSING,48906,112-20,9/24/2020,
"B P PRODUCTS NORTH AMERICA, INC",P0765,5020 S PENNSYLVANIA AVENUE,LANSING,49323,248-03,10/23/2003,General PTI
MCLAREN GREATER LANSING HOSPITAL,P1123,2900 COLLINS ROAD,LANSING,48910,47-20,10/2/2020,
"RIETH-RILEY CONSTRUCTION COMPANY,",B5817,2325 KIPP ROAD,MASON,48854,1343-91C,8/6/2004,
DART CONTAINER CORPORATION OF,D8065,3120 HOWELL ROAD,MASON,48854,728-96,5/8/1997,Rolled into ROP
DART CONTAINER CORPORATION OF,D8065,500 HOGSBACK ROAD,MASON,48854,349-06,3/8/2007,Rolled into ROP
DART CONTAINER CORPORATION OF,D8065,432 HOGSBACK ROAD,MASON,48854,177-13,12/19/2013,Rolled into ROP
DART CONTAINER CORPORATION OF,D8065,432 HOGSBACK ROAD,MASON,48854,68-18,5/11/2018,Rolled into ROP
DART CONTAINER CORPORATION OF,D8065,432 HOGSBACK ROAD,MASON,48854,121-18,8/13/2018,Rolled into ROP
DART CONTAINER CORPORATION OF,D8065,432 HOGSBACK ROAD,MASON,48854,205-18A,7/19/2019,Rolled into ROP
DART CONTAINER CORPORATION OF,D8065,432 HOGSBACK ROAD,MASON,48854,349-06A,8/29/2014,Rolled into ROP
"AMERICHEM SALES CORP, LLC",M3648,340 NORTH STREET,MASON,48854,27-22,3/18/2022,
"NITREX, INC",N5663,822 KIM DRIVE - MICHIGAN OPERATIONS,MASON,48854,30-19B,1/27/2020,
USA LAMP & BALLAST RECYCLING,N5948,665 HULL ROAD,MASON,48854,329-96A,8/7/2012,
CRUSHING CONCEPTS,N6396,2325 KIPP ROAD,MASON,49267,573-97,1/16/1998,
CRUSHING CONCEPTS,N6397,990 W BARNES ROAD,MASON,48854,572-97,1/16/1998,
CRUSHING CONCEPTS,N6513,990 W BARNES ROAD,MASON,48854,237-98,8/4/1998,
CENTRAL MICHIGAN CREMATORY,N6843,455 N MASON STREET,MASON,48858,161-00,8/11/2000,
CENTRAL MICHIGAN CREMATORY,N6843,455 N MASON STREET,MASON,48858,228-09,11/9/2009,
CENTRAL MICHIGAN CREMATORY,N6843,455 N MASON STREET,MASON,48858,128-12,8/22/2012,
HAWKINS HOMESTEAD,N8053,4904 W BARNES ROAD,MASON,48854,158-08,6/5/2008,General PTI
AMOCO OIL COMPANY,N6886,2131 W GRAND RIVER AVENUE,OKEMOS,48864,336-00,10/24/2000,General PTI
WATTERS & SONS FARMS,N8259,4839 M-36,STOCKBRIDGE,49285,85-09,4/16/2009,General PTI
PIDD BROTHERS FARM,N8264,5221 SWAN ROAD,STOCKBRIDGE,49285,90-09,4/21/2009,General PTI
"FENDT TRANSIT MIX, INC",B8781,3740 FROST ROAD,WEBBERVILLE,48897,193-98,5/22/1998,
"ANDERSONS, INC (THE)",N0863,2690 N STOCKBRIDGE ROAD - M-52 NORTH,WEBBERVILLE,48892,704-84A,6/26/2012,
"WILLIAMSTON PRODUCTS, INC",N1790,1560 NOBLE ROAD,WILLIAMSTON,48895,168-19,10/31/2019,
JORGENSEN FARM ELEVATOR,N8261,2215 DIETZ ROAD,WILLIAMSTON,48895,102-09,4/29/2009,General PTI
JORGENSEN FARM ELEVATOR,N8261,2215 DIETZ ROAD,WILLIAMSTON,48895,236-09,10/8/2009,General PTI
JORGENSEN FARM ELEVATOR,N8261,2215 DIETZ ROAD,WILLIAMSTON,48895,234-09,10/8/2009,General PTI
JORGENSEN FARM ELEVATOR,N8261,2215 DIETZ ROAD,WILLIAMSTON,48895,235-09,10/8/2009,General PTI
JACKSON METAL CLEANING,P0915,1492 W GRAND RIVER AVENUE - BUILDING,WILLIAMSTON,48895,70-18,4/27/2018,General PTI
"EXTRUDED METALS, INC",B1650,302 ASHFIELD STREET,BELDING,48809,16-11,10/20/2011,Revised
ROBROY ENCLOSURES,B1652,500 MAPLE STREET,BELDING,48809,183-05E,11/12/2008,Revised
"SPECTRUM E-COAT, INC",M4235,226 CRAWFORD STREET,BELDING,48809,62-85A,4/7/1999,
"BELDING TANK TECHNOLOGIES, INC",N3748,200 N GOODING STREET,BELDING,48809,206-06,8/21/2006,Rolled into ROP
"BELDING TANK TECHNOLOGIES, INC",N3748,200 N GOODING STREET,BELDING,48809,120-07,4/30/2007,Rolled into ROP
"BELDING TANK TECHNOLOGIES, INC",N3748,200 N GOODING STREET,BELDING,48809,89-08,4/29/2008,Rolled into ROP
"BELDING TANK TECHNOLOGIES, INC",N3748,200 N GOODING STREET,BELDING,48809,89-08A,12/6/2011,Rolled into ROP
"BELDING TANK TECHNOLOGIES, INC",N3748,200 N GOODING STREET,BELDING,48809,126-16,10/28/2016,Rolled into ROP
"BELDING TANK TECHNOLOGIES, INC",N3748,200 N GOODING STREET,BELDING,48809,93-18,7/19/2018,Rolled into ROP
"BELDING TANK TECHNOLOGIES, INC",N3748,200 N GOODING STREET,BELDING,48809,93-18A,1/9/2019,Rolled into ROP
"BELDING TANK TECHNOLOGIES, INC",N3748,200 N GOODING STREET,BELDING,48809,93-18B,10/27/2020,Rolled into ROP
"D & R FABRICATION, INC",N3748,200 N GOODING STREET,BELDING,48809,160-99,10/26/2001,Rolled into ROP
NORTHLAND CORPORATION,N6534,321 ROOT STREET,BELDING,48809,505-97,11/12/1997,
"NAKANO FOODS, INC",N6977,702 KIDDVILLE ROAD,BELDING,48809,444-99,4/26/2001,
"WIESEN EDM, INC",P0676,8634 STOREY ROAD,BELDING,48809,65-16,5/11/2016,
NORTHLAND CORPORATION,N6534,321 ROOT STREET,BELDING,48809,505-97,11/12/1997,
"NAKANO FOODS, INC",N6977,702 KIDDVILLE ROAD,BELDING,48809,444-99,4/26/2001,
"WIESEN EDM, INC",P0676,8634 STOREY ROAD,BELDING,48809,65-16,5/11/2016,
JERRY GALLAGHER,B5152,301 MILL STREET,IONIA,48846,12-08,1/14/2008,General PTI
JERRY GALLAGHER,B5152,301 MILL STREET,IONIA,48846,14-08,1/14/2008,General PTI
MICHIGAN DEPT OF CORRECTIONS,K2120,1342 W MAIN STREET - IONIA FACILITIES,IONIA,48846,148-15,10/15/2015,
"VENTRA IONIA MAIN, LLC",N0923,14 N BEARDSLEY ROAD,IONIA,48846,189-90F,12/21/2016,
CLOTHING CARE CENTER,N5801,327 W WASHINGTON STREET,IONIA,48846,118-01,5/2/2001,
"CLOTING CARE CENTER, INC",N5801,327 W WASHINGTON STREET,IONIA,48846,142-02,7/17/2002,
"MERIDIAN AUTOMOTIVE SYSTEMS, INC",N6940,719 W MAIN STREET,IONIA,48846,277-99A,6/4/2007,
SUNSET MEMORIAL GARDENS,N7125,2811 S STATE STREET,IONIA,48846,338-01A,10/18/2013,
HERBRUCK POULTRY RANCH,N7405,478 W PORTLAND ROAD,IONIA,48446,123-19,9/24/2019,
"TOP GRADE AGGREGATES, LLC",P0684,540 SPRAGUE ROAD,IONIA,48846,39-16,3/28/2016,
HERBRUCK POULTRY RANCH,P0732,6595 S STATE ROAD,IONIA,48846,133-16,11/21/2016,
FRANKLIN METAL TRADING CORPORATION,N2199,609 TUPPER LAKE STREET,LAKE ODESSA,48849,447-89B,9/26/2018,
LAKEWOOD WASTEWATER AUTHORITY,P0541,13751 HARWOOD ROAD,LAKE ODESSA,48849,130-14,9/30/2014,
"BRIGHTMARK WILLOW POINT RNG, LLC",P1157,5301 FLANNIGAN ROAD,ORLEANS,48886,185-20,5/6/2021,
DEVEREAUX SAWMILL,N2157,2872 N HUBBARDSTON ROAD,PEWAMO,48873,81-02,6/24/2002,Revised
DEVEREAUX SAWMILL,N2157,2872 N HUBBARDSTON ROAD,PEWAMO,48873,101-05,5/12/2005,
DEVEREAUX SAWMILL,N2157,2872 N HUBBARDSTON ROAD,PEWAMO,48877,1-09A,7/22/2020,
"L D CLARK COMPANY, LLC",N7272,2502 OMARA ROAD,PEWAMO,48917,190-03,8/26/2003,General PTI
"PORTLAND IRON & METAL, INC",N1340,3130 KNOLL ROAD,PORTLAND,48875,381-98,2/2/1999,
"PORTLAND IRON & METAL, INC",N1340,3130 KNOLL ROAD,PORTLAND,48875,2-15,1/30/2015,
"PORTLAND, CITY OF",N5352,723 E GRAND RIVER AVENUE,PORTLAND,48875,353-94A,11/8/2002,
AMOCO OIL COMPANY,N6888,1534 E GRAND RIVER AVENUE,PORTLAND,48875,339-00,10/24/2000,General PTI
"RELIABLE RELAMPING, INC",N6821,6459 NASH HIGHWAY,SARANAC,48881,373-00,3/12/2001,
HERBRUCK POULTRY RANCH,N7757,6425 GRAND RIVER AVENUE,SARANAC,48881,124-19,9/24/2019,
HERBRUCK POULTRY RANCH,P0247,3896 GRAND RIVER AVENUE,SARANAC,48881,89-11,6/9/2011,
"RISNER SAND & GRAVEL, LLC",P0604,7549 RIVERSIDE DRIVE,SARANAC,48881,129-18,7/25/2018,General PTI
"DYNAMIC CRUSHING, LLC",P0691,6417 CENTERLINE ROAD,SARANAC,48881,53-16,3/31/2016,General PTI
PLASTIC TRIM INTERNATIONAL,N3592,935 N AULERICH ROAD,EAST TAWAS,48730,305-02,12/30/2002,General PTI
"PLASTIC TRIM INTERNATIONAL, INC",N3592,935 N AULERICH ROAD,EAST TAWAS,48730,119-20,4/30/2021,
"GOLD BOND BUILDING PRODUCTS, LLC",B1656,2375 S NATIONAL CITY ROAD,NATIONAL CITY,48748,73-98D,6/5/2018,
NATIONAL GYPSUM COMPANY,N7914,9675 SAND LAKE ROAD,NATIONAL CITY,48748,371-06,12/21/2006,General PTI
"TIMCO ENGINE CENTER, INC",N5053,3921 ARROW STREET,OSCODA,48750,316-96,3/24/1997,
COOPER STANDARD AUTOMOTIVE,N7240,4700 INDUSTRIAL ROW,OSCODA,48750,264-02,2/6/2004,
"TIP TOP SCREW MANUFACTURING, INC",N7378,4183 FORREST STREET,OSCODA,48750,289-06A,2/4/2008,
"HURON FOREST CREMATORY, INC",P0327,4721 INDUSTRIAL ROW,OSCODA,48750,41-12,3/19/2012,
"KALITTA AIR, LLC",P0789,5060 SKYWAY STREET,OSCODA,48750,24-17,7/11/2017,
U S GYPSUM COMPANY,B4102,GYPSUM ROAD,TAWAS CITY,48763,306-01,10/9/2001,General PTI
MINTH GROUP,N1488,905 CEDAR STREET,TAWAS CITY,48763,123-20,10/20/2020,General PTI
COBRA OIL & GAS CORPORATION,N3188,282 M-65,WHITTEMORE,48770,1027-91A,11/25/2013,
"ENBRIDGE ENERGY, LP",P1015,"SEC 35, T43N, R32W",CRYSTAL FALLS,48001,61-19A,5/25/2021,
KRIST OIL COMPANY,N3507,303 SELDEN ROAD,IRON RIVER,49935,45-02,2/19/2003,
"JAMES PETERSON SON, INC",P0627,106 HOMER ROAD,IRON RIVER,49935,137-15,7/16/2015,General PTI
AGRI-BLAST SERVICES,N6582,109 S 3RD STREET,BLANCHARD,49310,91-99,9/13/1999,
"HUBSCHER & SON, INC",N6702,4455 S COLDWATER ROAD,BROOMFIELD TOWNSHIP,48893,163-99,10/20/1999,General PTI
"HUBSCHER & SON, INC",N6704,4455 S COLDWATER ROAD,BROOMFIELD TOWNSHIP,48804,191-99,10/20/1999,General PTI
"HUBSCHER & SON, INC",N6706,4455 S COLDWATER ROAD,BROOMFIELD TOWNSHIP,48804,401-99,10/20/1999,General PTI
"HILDEN OIL COMPANY, INC",N8189,ISABELLA 18 FACILITY,ISABELLA TOWNSHIP,48878,372-08,2/26/2009,
ISABELLA PELLET,P0215,6900 W BASELINE ROAD,LAKE ISABELLA,48893,187-11,2/7/2012,
ISABELLA PELLET,P0215,6900 W BASELINE ROAD,LAKE ISABELLA,48893,30-11B,1/9/2015,
"CENTRAL ASPHALT, INC",B1620,2290 MAY STREET,MOUNT PLEASANT,48858,74-86B,12/16/2014,
CENTRAL MICHIGAN UNIVERSITY,K2460,1720 S EAST CAMPUS DRIVE -,MOUNT PLEASANT,48859,80-99,5/17/1999,Rolled into ROP
CENTRAL MICHIGAN UNIVERSITY,K2460,1720 S EAST CAMPUS DRIVE,MOUNT PLEASANT,48859,32-05,3/31/2005,Rolled into ROP
CENTRAL MICHIGAN UNIVERSITY,K2460,1720 S EAST CAMPUS DRIVE - 119,MOUNT PLEASANT,48859,69-13,5/17/2013,Rolled into ROP
CENTRAL MICHIGAN UNIVERSITY,K2460,1720 S EAST CAMPUS DRIVE - 119,MOUNT PLEASANT,48859,102-13,8/15/2013,Rolled into ROP
CENTRAL MICHIGAN UNIVERSITY,K2460,1720 S EAST CAMPUS DRIVE - 119,MOUNT PLEASANT,48859,190-15,11/3/2015,Rolled into ROP
CENTRAL MICHIGAN UNIVERSITY,K2460,1720 S EAST CAMPUS DRIVE - 119,MOUNT PLEASANT,48859,218-15,3/1/2016,Rolled into ROP
"TPI PETROLEUM, INC",N6624,502 W PICKARD STREET,MOUNT PLEASANT,48858,204-05,8/9/2005,General PTI
FISHER CONSTRUCTION AGGREGATES,P0806,900 S BRADLEY STREET,MOUNT PLEASANT,48858,49-17,3/28/2017,General PTI
"DAISY HILL, INC",P1150,3737 S ISABELLA ROAD,MOUNT PLEASANT,48858,127-20,12/18/2020,
