company,address,srn,approved
MICHIGAN SUGAR COMPANY,819 PENINSULAR STREET,B2875,1/18/2008
MICHIGAN SUGAR COMPANY,159 S HOWARD AVENUE,B2876,3/12/1997
MICHIGAN SUGAR COMPANY,159 S HOWARD AVENUE,B2876,11/10/1999
MICHIGAN SUGAR COMPANY,159 S HOWARD AVENUE,B2876,9/18/2001
MICHIGAN SUGAR COMPANY,159 S HOWARD AVENUE,B2876,9/18/2001
MICHIGAN SUGAR COMPANY,159 S HOWARD AVENUE,B2876,1/18/2008
MICHIGAN SUGAR COMPANY,159 S HOWARD AVENUE,B2876,7/20/2012
MICHIGAN SUGAR COMPANY,159 S HOWARD AVENUE,B2876,6/24/2015
MICHIGAN SUGAR COMPANY,159 S HOWARD AVENUE,B2876,5/16/2017
MICHIGAN SUGAR COMPANY,159 S HOWARD AVENUE,B2876,1/19/2021
"U S ENERGY DISTRIBUTION, LLC",40600 GRAND RIVER AVENUE -,B2881,12/13/2021
SUNOCO MARKETING &,500 S DIX STREET,B2926,7/9/2019
"ALPHA RESINS, LLC",17350 RYAN ROAD,B2927,12/4/2014
CONSUMERS ENERGY COMPANY,1945 W PARNALL ROAD,B2933,4/5/2013
CONSUMERS POWER COMPANY,27780 BLUE STAR MEMORIAL,B2934,6/21/2006
"ENTERGY NUCLEAR PALISADES,",27780 BLUE STAR MEMORIAL,B2934,5/8/2015
PALISADES NUCLEAR PLANT,27780 BLUE STAR MEMORIAL,B2934,4/23/2018
SILBOND CORPORATION,9901 SAND CREEK HIGHWAY,B2952,5/6/2011
FORD MOTOR COMPANY,17000 OAKWOOD BLVD - NEW,B2956,1/14/2013
ORIGINAL FOOTWEAR,1005 BALDWIN STREET - FACTORY,B2981,9/2/2008
"B P PRODUCTS NORTH AMERICA,",205 MARION AVENUE,B2987,5/21/1999
"B P PRODUCTS NORTH AMERICA,",205 MARION AVENUE,B2987,11/14/2000
"B P PRODUCTS NORTH AMERICA,",205 MARION AVENUE,B2987,3/10/2005
"BUCKEYE TERMINALS, LLC",205 MARION AVENUE - RIVER,B2987,8/15/2017
"BUCKEYE TERMINALS, LLC",205 MARION AVENUE - RIVER,B2987,4/4/2018
"BUCKEYE TERMINALS, LLC",8625 S INKSTER ROAD - DEARBORN,B2988,12/28/2017
MICHIGAN PAVING & MATERIALS,2000 GLENDENNING ROAD,B2992,3/27/2009
"BEACON PARK FINISHING, LLC",15765 STURGEON STREET,B3000,3/31/1998
"THIERICA, INC",900 CLANCY AVENUE NE,B3007,12/23/2013
"DETROIT THERMAL, LLC",555 W BALTIMORE AVENUE,B3012,9/23/1997
"QUALITY SPRING TOGO, INC",355 JAY STREET,B3019,11/12/2003
"QUALITY SPRING TOGO, INC",355 JAY STREET,B3019,4/20/2004
FITZGERALD FINISHING COMPANY,17450 FILER AVENUE,B3037,10/2/2015
"FITZGERALD FINISHING, LLC",17450 FILER AVENUE,B3037,8/31/2021
MICROTECT DCT,12611 HAGGERTY ROAD,B3101,2/24/2003
"RECKITT BENCKISER, INC",21702 E HURON RIVER DRIVE,B3111,5/11/2000
AJAX MATERIALS CORPORATION,8744 INKSTER ROAD,B3120,4/30/2018
"CADILLAC ASPHALT, LLC",670 S DIX AVENUE,B3195,9/30/2008
EAGLE-PICHER INDUSTRIES,2638 PRINCESS STREET,B3234,1/20/1998
FORD MOTOR COMPANY,25555 PENNSYLVANIA ROAD -,B3241,9/29/2016
METROPOLITAN ALLOYS,17385 RYAN ROAD,B3259,8/19/2021
GIBRALTAR NATIONAL CORP /,8951 SCHAEFER HIGHWAY,B3291,3/22/2017
PLASTOMER CORPORATION,37819 SCHOOLCRAFT ROAD,B3315,4/15/1998
PLASTOMER CORPORATION,37819 SCHOOLCRAFT ROAD,B3315,4/24/2000
"MCGEAN-ROHCO, INC",38521 SCHOOLCRAFT ROAD,B3316,4/13/2005
"MCGEAN-ROHCO, INC",38521 SCHOOLCRAFT ROAD,B3316,7/16/2020
CHRYSLER TRENTON ENGINE,2000 VAN HORN ROAD,B3350,9/14/2011
CHRYSLER TRENTON ENGINE,2000 VAN HORN ROAD - TRENTON,B3350,1/31/2014
DAIMLERCHRYSLER CORPORATION,2000 VAN HORN ROAD - TRENTON,B3350,4/19/2007
"FCA US, LLC",2300 VAN HORN ROAD - TRENTON,B3350,11/9/2015
VOSS INDUSTRIES,7925 BEECH DALY ROAD,B3472,7/24/2018
VOSS INDUSTRIES,7925 BEECH DALY ROAD,B3472,4/20/2022
U S GYPSUM COMPANY,2 DIVISION STREET,B3518,2/15/2000
U S GYPSUM COMPANY,2 DIVISION STREET,B3518,8/31/2001
U S GYPSUM COMPANY,10090 W JEFFERSON AVENUE,B3518,2/19/2003
U S GYPSUM COMPANY,10090 W JEFFERSON AVENUE,B3518,9/23/2003
U S GYPSUM COMPANY,10090 W JEFFERSON AVENUE,B3518,11/21/2003
U S GYPSUM COMPANY,10090 W JEFFERSON AVENUE,B3518,3/1/2008
U S GYPSUM COMPANY,10090 W JEFFERSON AVENUE,B3518,6/9/2011
U S GYPSUM COMPANY,10090 W JEFFERSON AVENUE,B3518,10/5/2021
EDWARD C LEVY COMPANY,8800 DIX AVENUE - PLANT 1,B3533,9/23/2016
EDWARD C LEVY COMPANY,7426 DEANVILLE ROAD - PLANT 2,B3534,8/15/2016
SAINT MARY'S CEMENT,9333 DEARBORN STREET,B3567,8/31/2018
SAINT MARY'S CEMENT,9333 DEARBORN STREET,B3567,4/12/2022
"SAINT MARY'S CEMENT, INC",9333 DEARBORN STREET,B3567,9/2/2011
"SAINT MARY'S CEMENT, INC",9333 DEARBORN STREET,B3567,1/25/2012
"SAINT MARY'S CEMENT, INC (US)",9333 DEARBORN STREET,B3567,1/30/2004
"SAINT MARY'S CEMENT, INC (US)",9333 DEARBORN STREET,B3567,4/16/2004
"LINEAR MOTION, LLC",628 N HAMILTON STREET,B3607,4/29/2009
"PHARMACIA & UPJOHN COMPANY,",7171 PORTAGE ROAD,B3610,3/9/2000
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,7/11/2001
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,7/19/2001
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,1/31/2002
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,4/12/2002
"PHARMACIA & UPJOHN COMPANY,",7171 PORTAGE ROAD,B3610,4/24/2002
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,6/6/2002
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,8/16/2002
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,5/6/2003
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,5/23/2003
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,12/15/2004
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,3/14/2005
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,5/12/2005
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,7/22/2005
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,8/29/2005
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,10/5/2005
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,6/14/2006
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,9/27/2006
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,8/2/2007
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,3/4/2008
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,3/19/2008
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,4/10/2008
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,10/17/2008
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,3/18/2009
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,11/30/2010
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,5/5/2011
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,8/31/2011
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,10/8/2012
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,11/14/2012
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,6/6/2013
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,7/5/2013
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,8/19/2013
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,5/29/2014
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,6/30/2014
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,11/24/2014
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,3/31/2015
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,6/2/2015
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,1/19/2016
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,6/18/2021
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,7/2/2021
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,7/2/2021
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,7/8/2021
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,9/13/2021
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,12/6/2021
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,1/14/2022
"PHARMACIA & UPJOHN COMPANY,",7000 PORTAGE ROAD - A,B3610,1/21/2022
GRAPHITE ENGINEERING & SALES,712 INDUSTRIAL PARK DRIVE,B3624,10/8/2007
FORD MOTOR COMPANY,14425 N SHELDON ROAD,B3625,9/22/2017
MICHIGAN DIE CASTING,51241 M-51 NORTH,B3640,2/7/2001
"MICHIGAN DIE CASTING, LLC",51241 M-51 NORTH,B3640,7/10/2019
MARTINREA BISHOP CIRCLE,10501 M-52,B3658,10/21/2021
BASF CHEMICAL CORPORATION,836 CHICAGO DRIVE SW,B3660,2/21/1997
PACKAGING CORPORATION OF,2246 UDELL STREET - FILER CITY,B3692,9/17/2002
PACKAGING CORPORATION OF,2246 UDELL STREET - FILER CITY,B3692,2/19/2003
PACKAGING CORPORATION OF,2246 UDELL STREET - FILER CITY,B3692,6/24/2009
PACKAGING CORPORATION OF,2246 UDELL STREET - FILER CITY,B3692,6/1/2015
PACKAGING CORPORATION OF,2246 UDELL STREET - FILER CITY,B3692,1/28/2016
PACKAGING CORPORATION OF,2246 UDELL STREET - FILER CITY,B3692,1/26/2021
ANR PIPELINE COMPANY,7677 230TH AVENUE - REED CITY,B3721,1/11/2001
ANR PIPELINE COMPANY,7677 230TH AVENUE - REED CITY,B3721,8/30/2012
LANSING BOARD OF WATER &,3725 S CANAL ROAD - ERICKSON,B4001,8/26/2008
LANSING BOARD OF WATER &,3725 S CANAL ROAD - ERICKSON,B4001,2/6/2009
LANSING BOARD OF WATER &,3725 S CANAL ROAD - ERICKSON,B4001,7/21/2009
LANSING BOARD OF WATER &,3725 S CANAL ROAD - ERICKSON,B4001,8/6/2009
LANSING BOARD OF WATER &,3725 S CANAL ROAD - ERICKSON,B4001,10/8/2020
LANSING BOARD OF WATER &,3725 S CANAL ROAD - ERICKSON,B4001,1/11/2022
DOW SILICONES CORPORATION,5300 11 MILE ROAD,B4022,12/11/2018
"SK SILTRON CSS, LLC",5300 11 MILE ROAD - US-9,B4022,12/11/2018
GENERAL MOTORS CORPORATION,823 JOSLYN AVENUE - PONTIAC,B4032,5/9/2005
GENERAL MOTORS CORPORATION,895 JOSLYN AVENUE,B4032,5/28/2008
GENERAL MOTORS CORPORATION,895 JOSLYN AVENUE,B4032,12/11/2008
"GENERAL MOTORS, LLC",220 E COLUMBIA AVENUE -,B4032,2/21/2014
"GENERAL MOTORS, LLC",850 N GLENWOOD AVENUE -,B4032,5/19/2016
"GENERAL MOTORS, LLC",850 N GLENWOOD AVENUE -,B4032,9/30/2016
"GENERAL MOTORS, LLC",850 N GLENWOOD AVENUE -,B4032,6/20/2019
KRAFT HEINZ FOODS COMPANY,431 W 16TH STREET,B4045,9/9/2013
GENERAL MOTORS CORPORATION,6250 CHICAGO ROAD - TRUCK &,B4049,1/18/2000
GENERAL MOTORS CORPORATION,6250 CHICAGO ROAD - TRUCK &,B4049,9/7/2004
GENERAL MOTORS CORPORATION,6250 CHICAGO ROAD - TRUCK &,B4049,10/28/2004
GENERAL MOTORS CORPORATION,30001 VAN DYKE AVENUE -,B4049,7/12/2011
GENERAL MOTORS CORPORATION,30001 VAN DYKE AVENUE -,B4049,7/13/2012
GENERAL MOTORS CORPORATION,30001 VAN DYKE AVENUE -,B4049,5/16/2013
GENERAL MOTORS CORPORATION,6250 CHICAGO ROAD - TECHNICAL,B4049,4/14/2014
GENERAL MOTORS CORPORATION,30001 VAN DYKE AVENUE -,B4049,1/14/2015
GENERAL MOTORS CORPORATION,6250 CHICAGO ROAD - TECHNICAL,B4049,9/29/2016
GENERAL MOTORS CORPORATION,31295 CHARLES KETTERING ROAD,B4049,6/17/2020
RIETH-RILEY CONSTRUCTION,06611 US-31 NORTH,B4058,12/22/1999
ROCK-TENN COMPANY,177 ANGELL STREET,B4072,12/20/2000
ROCK-TENN COMPANY,177 ANGELL STREET,B4072,8/21/2006
ROCK-TENN COMPANY,177 ANGELL STREET,B4072,3/22/2007
ROCK-TENN COMPANY,177 ANGELL STREET,B4072,8/13/2008
ROCK-TENN COMPANY,177 ANGELL STREET,B4072,5/6/2009
ROCK-TENN COMPANY,177 ANGELL STREET,B4072,3/12/2012
ROCK-TENN COMPANY,177 ANGELL STREET,B4072,5/20/2013
"WESTROCK CALIFORNIA, LLC",177 ANGELL STREET,B4072,8/3/2021
"REXAM CLOSURE SYSTEMS, INC",950 INDUSTRIAL DRIVE,B4096,2/18/2005
U S GYPSUM COMPANY,GYPSUM ROAD,B4102,10/9/2001
"WYOMING CLEAN WATER PLANT,",2350 IVANREST AVENUE SW,B4113,5/16/2013
"WYOMING CLEAN WATER PLANT,",2350 IVANREST AVENUE SW,B4113,8/13/2013
"WYOMING CLEAN WATER, CITY OF",2350 IVANREST AVENUE SW,B4113,3/2/2004
MNP CORPORATION,44225 UTICA ROAD,B4131,6/30/2005
MNP CORPORATION,44225 UTICA ROAD,B4131,3/8/2013
"CADILLAC ASPHALT, LLC",2040 BARRETT ROAD,B4134,1/19/2021
AJAX MATERIALS CORPORATION,2240 AVON INDUSTRIAL DRIVE,B4137,5/20/2005
AJAX MATERIALS CORPORATION,26400 SHERWOOD AVENUE,B4138,5/20/2005
"AKZO COATINGS AMERICA, INC",120 FRANKLIN ROAD,B4145,8/18/2006
"AKZO NOBEL COATINGS, INC",120 FRANKLIN ROAD,B4145,3/13/2020
RIETH-RILEY CONSTRUCTION,11300 E 14 MILE ROAD,B4147,2/22/2005
"BOLEN ASPHALT PAVING, INC",295 FAIRVIEW ROAD - R E GLANCY,B4164,3/3/1998
"ELMER'S CRANE & DOZER, INC",3638 RENNIE SCHOOL ROAD,B4167,6/28/2018
"ELMER'S CRANE & DOZER, INC",3638 RENNIE SCHOOL ROAD - TC,B4167,11/20/2020
AAR CADILLAC MANUFACTURING,201 HAYNES STREET,B4197,12/7/2000
AAR MOBILITY SYSTEMS,201 HAYNES STREET,B4197,7/10/2007
AAR MOBILITY SYSTEMS,201 HAYNES STREET,B4197,2/20/2009
AAR MOBILITY SYSTEMS,201 HAYNES STREET,B4197,9/30/2010
AAR MOBILITY SYSTEMS,201 HAYNES STREET,B4197,6/6/2017
AAR MOBILITY SYSTEMS,201 HAYNES STREET,B4197,3/2/2018
BORGWAGNER EMISSIONS /,1100 WRIGHT STREET,B4198,8/19/2004
ARMOUR CONTRACTING,525 N 24TH STREET,B4214,5/12/2016
ARMOUR CONTRACTING,525 N 24TH STREET,B4214,8/4/2017
FRENCH PAPER LLC,100 FRENCH STREET,B4238,8/4/2009
EDWARD C LEVY COMPANY,13800 MELLON STREET - PLANT 6,B4243,5/11/2004
EDWARD C LEVY COMPANY,13800 MELLON STREET - PLANT 6,B4243,9/19/2006
EDWARD C LEVY COMPANY,13800 MELLON STREET - PLANT 6,B4243,3/12/2019
EDWARD C LEVY COMPANY,13800 MELLON STREET - PLANT 6,B4243,5/29/2020
AMERICAN ELECTRIC POWER,1 COOK PLACE,B4252,2/25/2004
AMERICAN ELECTRIC POWER,1 COOK PLACE,B4252,6/10/2009
INDIANA MICHIGAN POWER,1 COOK PLACE,B4252,2/16/2005
INDIANA MICHIGAN POWER,1 COOK PLACE,B4252,6/10/2014
LAKELAND ASPHALT CORPORATION,548 AVENUE A,B4253,11/1/2018
L'ANSE WARDEN ELECTRIC,157 S MAIN STREET,B4260,10/25/2012
L'ANSE WARDEN ELECTRIC,157 S MAIN STREET,B4260,10/31/2016
L'ANSE WARDEN ELECTRIC,157 S MAIN STREET,B4260,3/29/2019
L'ANSE WARDEN ELECTRIC,157 S MAIN STREET,B4260,12/18/2020
L'ANSE WARDEN ELECTRIC,157 S MAIN STREET,B4260,10/29/2007
L'ANSE WARDEN ELECTRIC,157 S MAIN STREET,B4260,5/30/2008
L'ANSE WARDEN ELECTRIC,157 S MAIN STREET,B4260,4/16/2010
WISCONSIN ELECTRIC POWER,2701 N LAKESHORE BLVD,B4261,2/3/2009
"CADILLAC ASPHALT, LLC",857 S WAGNER ROAD,B4265,6/17/2010
"CADILLAC ASPHALT, LLC",1785 RAWSONVILLE ROAD,B4280,11/28/2006
DCP OPERATING COMPANY LP,2510 BUSHA HIGHWAY,B4282,2/24/2020
"CADILLAC ASPHALT, LLC",4751 WHITE LAKE ROAD,B4287,11/14/2006
"ZOETIS, LLC",306 PITCHER STREET,B4288,5/1/2015
MERIT ENERGY COMPANY,1510 THOMAS ROAD SW -,B4292,8/9/2007
SWEPI,1510 THOMAS ROAD - KALKASKA,B4292,3/26/1998
"HOLLAND USA, INC - MUSKEGON",1950 INDUSTRIAL BLVD,B4300,3/28/2002
"AMERICAN CHEMICAL SOLUTIONS,",2406 ROBERTS STREET,B4302,4/24/2019
HONEYWELL INTERNATIONAL,1953 S HARVEY STREET,B4303,8/4/2020
GERDAU MACSTEEL,3100 BROOKLYN ROAD,B4306,8/9/2001
GERDAU SPECIAL STEEL NORTH,3100 BROOKLYN ROAD,B4306,3/6/2019
GERDAU SPECIAL STEEL NORTH,3100 BROOKLYN ROAD - JACKSON,B4306,9/23/2019
QUANEX CORPORATION,3100 BROOKLYN ROAD - MACSTEEL,B4306,11/24/1999
QUANEX CORPORATION,3100 BROOKLYN ROAD - MACSTEEL,B4306,3/31/2006
QUANEX CORPORATION,3100 BROOKLYN ROAD - MACSTEEL,B4306,11/14/2006
"TMS INTERNATIONAL, LLC",3100 BROOKLYN ROAD,B4306,9/27/2018
"SPECIALTY CASTINGS, INC",211 MILL STREET,B4307,4/23/2010
ADM GRAIN COMPANY,6801 US-223 EAST,B4311,3/24/2022
DTE ELECTRIC COMPANY,6400 N DIXIE HIGHWAY,B4321,9/16/2004
DTE ENERGY,6400 N DIXIE HIGHWAY,B4321,12/8/2016
DTE ENERGY,6400 N DIXIE HIGHWAY,B4321,6/1/2017
"ASTECH, INC",5512 SCOTCH ROAD,B4350,10/31/2019
RECYCLING & TREATMENT,530 ROUGE STREET SOUTH,B4354,4/15/2014
BASF CORPORATION CHEMICAL,1609 BIDDLE AVENUE,B4359,11/28/2001
BASF CORPORATION CHEMICAL,1609 BIDDLE AVENUE,B4359,5/8/2003
BASF CORPORATION CHEMICAL,1609 BIDDLE AVENUE,B4359,1/19/2005
BASF CORPORATION CHEMICAL,1609 BIDDLE AVENUE,B4359,6/23/2005
BASF CORPORATION CHEMICAL,1609 BIDDLE AVENUE,B4359,1/12/2006
BASF CORPORATION CHEMICAL,1609 BIDDLE AVENUE,B4359,2/7/2006
BASF CORPORATION CHEMICAL,1609 BIDDLE AVENUE,B4359,7/6/2007
BASF CORPORATION CHEMICAL,1609 BIDDLE AVENUE,B4359,7/31/2009
BASF CORPORATION CHEMICAL,1609 BIDDLE AVENUE,B4359,1/11/2016
BASF CORPORATION CHEMICAL,1609 BIDDLE AVENUE,B4359,3/23/2018
BASF CORPORATION CHEMICAL,1609 BIDDLE AVENUE,B4359,4/30/2018
BASF CORPORATION CHEMICAL,1609 BIDDLE AVENUE,B4359,9/19/2018
BASF CORPORATION CHEMICAL,1609 BIDDLE AVENUE,B4359,9/24/2018
BASF CORPORATION CHEMICAL,1609 BIDDLE AVENUE,B4359,12/14/2018
BASF CORPORATION CHEMICAL,1609 BIDDLE AVENUE,B4359,2/28/2019
BASF CORPORATION CHEMICAL,1609 BIDDLE AVENUE,B4359,7/21/2020
BASF CORPORATION CHEMICAL,1609 BIDDLE AVENUE,B4359,9/29/2021
BASF CORPORATION CHEMICAL,1609 BIDDLE AVENUE,B4359,3/1/2022
EDWARD C LEVY COMPANY,100 WESTFIELD STREET - PLANT 3,B4364,10/26/1999
NATIONAL STEEL CORPORATION,100 WESTFIELD STREET,B4364,7/18/2003
"MCCOIG MATERIALS, LLC",500 E 7 MILE ROAD,B4369,3/17/2011
OMNISOURCE STURGIS,70675 CENTERVILLE ROAD,B4372,3/16/2004
"BUCKEYE TERMINALS, LLC",6777 BROOKLYN ROAD,B4380,6/6/2017
KASSON SAND & GRAVEL COMPANY,10282 S PIERCE ROAD,B4383,9/15/1999
"BIMBO BAKERIES USA, INC",210 28TH STREET SE,B4394,6/24/2021
KEEBLER COMPANY,310 28TH STREET SE,B4395,1/14/2021
"VACUUM ORNA METAL, INC",11380 HARRISON ROAD,B4550,3/23/2018
DTE ENERGY SERVICES,12301 FARMINGTON ROAD,B4569,9/26/2000
EAGLE PLASTICS CORPORATION,12001 LEVAN ROAD,B4626,3/7/2006
RECYCLED AGGREGATES,6873 INKSTER ROAD,B4686,3/23/2000
SHRADER TIRE & OIL COMPANY,25445 OUTER DRIVE WEST,B4734,5/20/2008
SHRADER TIRE & OIL COMPANY,25445 OUTER DRIVE WEST,B4734,12/18/2019
MICHIGAN CRUSHED CONCRETE,25012 PLYMOUTH ROAD,B4745,6/2/2011
GREAT LAKES PETROLEUM,12500 STOCKER ROAD,B4752,4/14/2014
MCNICHOLS POLISHING &,12139 WOODBINE ROAD,B4785,12/22/2005
PEERLESS METAL POWDERS &,124 S MILITARY STREET,B4847,8/13/2004
PEERLESS METAL POWDERS &,124 S MILITARY STREET,B4847,1/3/2008
PEERLESS METAL POWDERS &,124 S MILITARY STREET,B4847,2/17/2012
TILDEN MINING COMPANY LC,1 TILDEN MINE ROAD,B4885,12/16/2020
"TILDEN MINING COMPANY, LC",1 TILDEN MINE ROAD,B4885,6/28/2002
"TILDEN MINING COMPANY, LC",1 TILDEN MINE ROAD,B4885,10/2/2013
"TILDEN MINING COMPANY, LC",1 TILDEN MINE ROAD,B4885,10/30/2013
"TILDEN MINING COMPANY, LC",1 TILDEN MINE ROAD,B4885,5/26/2017
STONECO OF MICHIGAN,7555 WHITEFORD ROAD - OTTAWA,B4922,8/17/2020
STONECO OF MICHIGAN,6837 SCOFIELD ROAD - MAYBEE,B4923,10/15/2019
"STONECO, INC",6837 SCOFIELD ROAD,B4923,3/13/2009
"STONECO, INC",6837 SCOFIELD ROAD,B4923,10/11/2021
"CARMEUSE LIME & STONE, INC",5093 M-134 EAST,B4924,5/18/2017
O-N MINERALS (MICHIGAN),1035 CALCITE ROAD - dba,B4925,11/3/2016
"CARMEUSE LIME & STONE, INC",15 W COUNTY ROAD 432 - PORT,B4931,3/25/2015
MICHIGAN LIMESTONE OPERATION,15 W COUNTY ROAD 432 - PORT,B4931,5/27/1999
"DOW AGROSCIENCES, LLC",305 N HURON AVENUE,B4942,10/22/1998
"DOW AGROSCIENCES, LLC",30 BUELL STREET,B4942,8/28/2000
"DOW AGROSCIENCES, LLC",305 N HURON AVENUE,B4942,11/18/2004
"DOW AGROSCIENCES, LLC",305 N HURON AVENUE,B4942,10/9/2008
"DOW AGROSCIENCES, LLC",305 N HURON AVENUE,B4942,9/20/2011
"DOW AGROSCIENCES, LLC",305 N HURON AVENUE,B4942,6/11/2012
"DOW AGROSCIENCES, LLC",305 N HURON AVENUE,B4942,2/27/2014
"DOW AGROSCIENCES, LLC",305 N HURON AVENUE,B4942,3/9/2017
"DOW AGROSCIENCES, LLC",305 N HURON AVENUE,B4942,12/18/2017
"DOW AGROSCIENCES, LLC",305 N HURON AVENUE,B4942,3/7/2019
"DOW AGROSCIENCES, LLC",305 N HURON AVENUE,B4942,3/31/2020
BURROUGHS MATERIALS COMPANY,8785 RIBBLE ROAD,B4944,4/25/2011
PINNACLE FOODS CORPORATION,415 S BLACKS CORNERS ROAD,B4977,4/25/1997
MUSKEGON COMPOSITES,1355 W SHERMAN BLVD,B5022,12/9/2019
"STEEL INDUSTRIES, INC",12600 BEECH DALY ROAD - PLANTS,B5038,10/27/2011
JERRY GALLAGHER,301 MILL STREET,B5152,1/14/2008
JERRY GALLAGHER,301 MILL STREET,B5152,1/14/2008
"WHITEHALL PRODUCTS, LTD",8786 WATER STREET,B5169,6/20/2007
LANSING BOARD OF WATER &,148 S CEDAR STREET,B5214,6/2/2005
"MPLX TERMINALS, LLC",6300 W GRAND RIVER AVENUE,B5215,10/20/2016
"STEELTECH, LTD",1251 PHILLIPS AVENUE SW,B5236,4/25/2008
"PURINA MILLS, INC",5620 MILLETT HIGHWAY,B5393,10/9/2000
"D W NATIONAL STANDARD-NILES,",1631 LAKE STREET,B5417,3/23/2015
WATERFRONT PETROLEUM,1071 MILLER ROAD,B5434,11/15/2012
"SUPERIOR SAND & GRAVEL, INC",1910 W QUINCY STREET,B5440,11/23/1999
"U S ECOLOGY ROMULUS, INC",36345 VAN BORN ROAD,B5451,3/6/2000
"U S ECOLOGY ROMULUS, INC",36345 VAN BORN ROAD,B5451,8/9/2000
"U S ECOLOGY ROMULUS, INC",36345 VAN BORN ROAD,B5451,8/23/2006
"U S ECOLOGY ROMULUS, INC",36345 VAN BORN ROAD,B5451,8/31/2006
"U S ECOLOGY ROMULUS, INC",36345 VAN BORN ROAD,B5451,3/31/2022
COASTAL CONTAINER,1201 INDUSTRIAL AVENUE,B5453,4/8/2010
"COIT AVENUE GRAVEL COMPANY,",4772 COIT AVENUE NE,B5454,9/21/1999
DRAYTON IRON & METAL COMPANY,5229 WILLIAMS LAKE ROAD,B5465,3/3/2021
"LAMBDA ENERGY RESOURCES, LLC",VIADUCT ROAD,B5552,2/10/2009
BRANCH COUNTY ROAD,122 W CHICAGO ROAD (US-12),B5579,8/7/2003
"LAMBDA ENERGY RESOURCES, LLC",BLUE LAKE ROAD - BLUE LAKE 27,B5584,4/15/2004
"LAMBDA ENERGY RESOURCES, LLC",CENTER ROAD - MAYFIELD 23,B5587,7/25/2018
JAGUAR ENERGY,"7 MILE ROAD / NW SW NW SEC 10,",B5588,3/10/1997
